order_id,customer_id,store_id,order_ts,status
O0000107,C000746,S006,2025-12-23 08:46:18,PLACED
O0000108,C000764,S002,2025-12-23 10:32:18,SHIPPED
O0000109,C000712,S004,2025-12-22 15:28:18,SHIPPED
O0000110,C000272,S010,2025-12-24 09:10:18,DELIVERED
O0000111,C000596,S009,2025-12-26 22:27:18,DELIVERED
O0000112,C000683,S003,2025-12-24 20:53:18,PLACED
O0000113,C000730,S004,2025-12-25 23:48:18,SHIPPED
O0000114,C000454,S002,2025-12-28 12:13:18,SHIPPED
O0000115,C000637,S005,2025-12-27 08:08:18,DELIVERED
O0000116,C000051,S002,2025-12-28 10:31:18,PLACED
O0000117,C000692,S005,2025-12-23 00:31:18,DELIVERED
O0000118,C000222,S010,2025-12-23 01:25:18,SHIPPED
O0000119,C000186,S005,2025-12-27 23:38:18,SHIPPED
O0000120,C000205,S003,2025-12-23 10:03:18,PLACED
O0000121,C000441,S002,2025-12-24 07:11:18,DELIVERED
O0000122,C000066,S002,2025-12-28 00:41:18,PLACED
O0000123,C000580,S001,2025-12-21 21:20:18,DELIVERED
O0000124,C000284,S007,2025-12-24 17:30:18,DELIVERED
O0000125,C000663,S005,2025-12-24 12:54:18,DELIVERED
O0000126,C000592,S005,2025-12-23 17:27:18,DELIVERED
O0000127,C000094,S002,2025-12-22 21:26:18,PLACED
O0000128,C000468,S005,2025-12-23 23:27:18,DELIVERED
O0000129,C000171,S008,2025-12-25 16:44:18,CANCELLED
O0000130,C000657,S005,2025-12-24 05:50:18,DELIVERED
O0000131,C000027,S007,2025-12-26 12:06:18,PLACED
O0000132,C000666,S002,2025-12-22 15:57:18,SHIPPED
O0000133,C000203,S003,2025-12-27 06:46:18,SHIPPED
O0000134,C000430,S003,2025-12-24 01:25:18,SHIPPED
O0000135,C000063,S008,2025-12-24 23:51:18,SHIPPED
O0000136,C000638,S010,2025-12-24 16:20:18,PLACED
O0000137,C000780,S005,2025-12-25 18:59:18,SHIPPED
O0000138,C000419,S007,2025-12-25 23:44:18,DELIVERED
O0000139,C000243,S009,2025-12-22 22:33:18,DELIVERED
O0000140,C000357,S006,2025-12-23 06:55:18,SHIPPED
O0000141,C000386,S001,2025-12-27 08:24:18,DELIVERED
O0000142,C000109,S006,2025-12-26 14:27:18,DELIVERED
O0000143,C000007,S004,2025-12-22 21:41:18,PLACED
O0000144,C000649,S006,2025-12-22 06:39:18,PLACED
O0000145,C000488,S006,2025-12-23 06:34:18,CANCELLED
O0000146,C000322,S002,2025-12-27 10:55:18,SHIPPED
O0000147,C000215,S007,2025-12-24 00:31:18,SHIPPED
O0000148,C000238,S007,2025-12-27 23:00:18,SHIPPED
O0000149,C000322,S006,2025-12-24 01:56:18,PLACED
O0000150,C000272,S001,2025-12-26 05:44:18,DELIVERED
O0000151,C000739,S006,2025-12-26 16:22:18,PLACED
O0000152,C000068,S010,2025-12-23 00:47:18,PLACED
O0000153,C000146,S010,2025-12-27 00:18:18,SHIPPED
O0000154,C000219,S007,2025-12-28 15:34:18,DELIVERED
O0000155,C000504,S001,2025-12-24 16:16:18,SHIPPED
O0000156,C000647,S003,2025-12-26 04:11:18,DELIVERED
O0000157,C000597,S008,2025-12-23 21:49:18,PLACED
O0000158,C000296,S004,2025-12-21 21:58:18,DELIVERED
O0000159,C000315,S001,2025-12-27 18:18:18,DELIVERED
O0000160,C000070,S010,2025-12-25 21:06:18,SHIPPED
O0000161,C000208,S001,2025-12-24 14:45:18,DELIVERED
O0000162,C000695,S003,2025-12-27 02:16:18,DELIVERED
O0000163,C000181,S001,2025-12-25 04:30:18,DELIVERED
O0000164,C000466,S010,2025-12-27 05:04:18,DELIVERED
O0000165,C000434,S009,2025-12-25 21:00:18,SHIPPED
O0000166,C000226,S010,2025-12-27 21:59:18,DELIVERED
O0000167,C000784,S008,2025-12-25 07:33:18,SHIPPED
O0000168,C000712,S002,2025-12-25 01:04:18,PLACED
O0000169,C000307,S008,2025-12-27 06:43:18,DELIVERED
O0000170,C000147,S008,2025-12-27 10:27:18,DELIVERED
O0000171,C000594,S002,2025-12-25 20:03:18,DELIVERED
O0000172,C000596,S001,2025-12-22 23:20:18,DELIVERED
O0000173,C000053,S001,2025-12-23 22:01:18,DELIVERED
O0000174,C000198,S008,2025-12-24 23:51:18,PLACED
O0000175,C000336,S002,2025-12-25 06:08:18,CANCELLED
O0000176,C000170,S006,2025-12-27 08:09:18,DELIVERED
O0000177,C000729,S002,2025-12-27 19:33:18,DELIVERED
O0000178,C000147,S007,2025-12-23 06:17:18,PLACED
O0000179,C000611,S010,2025-12-24 09:10:18,DELIVERED
O0000180,C000489,S004,2025-12-27 23:25:18,SHIPPED
O0000181,C000373,S008,2025-12-26 12:12:18,PLACED
O0000182,C000226,S001,2025-12-26 20:24:18,DELIVERED
O0000183,C000454,S009,2025-12-27 00:16:18,SHIPPED
O0000184,C000554,S001,2025-12-23 17:25:18,SHIPPED
O0000185,C000725,S006,2025-12-22 20:52:18,DELIVERED
O0000186,C000546,S003,2025-12-22 07:22:18,DELIVERED
O0000187,C000120,S004,2025-12-25 19:28:18,DELIVERED
O0000188,C000494,S001,2025-12-23 15:26:18,PLACED
O0000189,C000731,S004,2025-12-21 22:44:18,DELIVERED
O0000190,C000194,S007,2025-12-24 01:16:18,PLACED
O0000191,C000072,S001,2025-12-25 06:41:18,PLACED
O0000192,C000677,S003,2025-12-26 05:50:18,PLACED
O0000193,C000067,S006,2025-12-25 09:15:18,DELIVERED
O0000194,C000658,S002,2025-12-26 18:04:18,DELIVERED
O0000195,C000664,S010,2025-12-24 21:29:18,SHIPPED
O0000196,C000288,S001,2025-12-25 04:45:18,PLACED
O0000197,C000653,S004,2025-12-26 01:00:18,SHIPPED
O0000198,C000763,S010,2025-12-26 07:26:18,DELIVERED
O0000199,C000067,S005,2025-12-25 16:44:18,PLACED
O0000200,C000527,S007,2025-12-24 04:37:18,SHIPPED
O0000201,C000710,S008,2025-12-23 14:20:18,PLACED
O0000202,C000365,S001,2025-12-25 20:50:18,PLACED
O0000203,C000168,S004,2025-12-23 18:03:18,CANCELLED
O0000204,C000766,S001,2025-12-24 13:03:18,DELIVERED
O0000205,C000718,S007,2025-12-27 21:03:18,DELIVERED
O0000206,C000695,S001,2025-12-22 02:01:18,DELIVERED
O0000207,C000311,S008,2025-12-22 07:23:18,DELIVERED
O0000208,C000218,S010,2025-12-28 06:40:18,DELIVERED
O0000209,C000415,S007,2025-12-23 02:43:18,PLACED
O0000210,C000646,S010,2025-12-25 21:36:18,PLACED
O0000211,C000236,S007,2025-12-25 13:40:18,SHIPPED
O0000212,C000180,S009,2025-12-23 20:06:18,DELIVERED
O0000213,C000714,S001,2025-12-25 22:55:18,DELIVERED
O0000214,C000480,S008,2025-12-26 14:44:18,PLACED
O0000215,C000091,S010,2025-12-23 05:52:18,SHIPPED
O0000216,C000449,S004,2025-12-25 02:55:18,PLACED
O0000217,C000340,S007,2025-12-28 05:00:18,PLACED
O0000218,C000754,S003,2025-12-24 18:19:18,DELIVERED
O0000219,C000116,S003,2025-12-28 08:42:18,SHIPPED
O0000220,C000002,S006,2025-12-22 22:45:18,SHIPPED
O0000221,C000275,S005,2025-12-23 04:58:18,DELIVERED
O0000222,C000366,S003,2025-12-24 17:05:18,DELIVERED
O0000223,C000686,S002,2025-12-26 03:15:18,DELIVERED
O0000224,C000473,S006,2025-12-25 17:20:18,SHIPPED
O0000225,C000013,S007,2025-12-26 09:22:18,SHIPPED
O0000226,C000165,S005,2025-12-25 16:59:18,DELIVERED
O0000227,C000597,S009,2025-12-26 16:52:18,DELIVERED
O0000228,C000287,S002,2025-12-28 10:43:18,SHIPPED
O0000229,C000085,S009,2025-12-26 14:45:18,PLACED
O0000230,C000229,S004,2025-12-25 21:26:18,DELIVERED
O0000231,C000385,S003,2025-12-26 20:17:18,DELIVERED
O0000232,C000298,S003,2025-12-25 17:06:18,DELIVERED
O0000233,C000379,S008,2025-12-23 19:36:18,DELIVERED
O0000234,C000655,S005,2025-12-28 01:34:18,PLACED
O0000235,C000112,S008,2025-12-25 08:36:18,SHIPPED
O0000236,C000446,S006,2025-12-23 08:23:18,SHIPPED
O0000237,C000204,S004,2025-12-24 06:21:18,PLACED
O0000238,C000068,S007,2025-12-28 16:27:18,DELIVERED
O0000239,C000411,S010,2025-12-27 01:57:18,DELIVERED
O0000240,C000634,S005,2025-12-24 14:00:18,DELIVERED
O0000241,C000741,S003,2025-12-24 13:37:18,SHIPPED
O0000242,C000204,S008,2025-12-26 13:01:18,DELIVERED
O0000243,C000489,S006,2025-12-23 23:15:18,DELIVERED
O0000244,C000505,S003,2025-12-23 15:43:18,PLACED
O0000245,C000338,S005,2025-12-28 08:54:18,SHIPPED
O0000246,C000134,S008,2025-12-23 07:47:18,DELIVERED
O0000247,C000526,S003,2025-12-27 18:51:18,DELIVERED
O0000248,C000399,S010,2025-12-25 12:15:18,PLACED
O0000249,C000096,S007,2025-12-27 17:43:18,SHIPPED
O0000250,C000679,S009,2025-12-28 00:14:18,PLACED
O0000251,C000460,S004,2025-12-24 03:28:18,PLACED
O0000252,C000065,S001,2025-12-27 22:49:18,DELIVERED
O0000253,C000069,S004,2025-12-25 21:59:18,DELIVERED
O0000254,C000630,S010,2025-12-22 12:43:18,DELIVERED
O0000255,C000429,S005,2025-12-22 22:51:18,PLACED
O0000256,C000142,S004,2025-12-26 07:36:18,DELIVERED
O0000257,C000541,S008,2025-12-28 03:07:18,DELIVERED
O0000258,C000456,S005,2025-12-25 22:19:18,PLACED
O0000259,C000365,S010,2025-12-28 07:11:18,SHIPPED
O0000260,C000627,S010,2025-12-26 08:54:18,DELIVERED
O0000261,C000597,S008,2025-12-23 15:01:18,PLACED
O0000262,C000643,S008,2025-12-23 00:04:18,DELIVERED
O0000263,C000065,S007,2025-12-24 23:22:18,DELIVERED
O0000264,C000052,S004,2025-12-27 18:20:18,PLACED
O0000265,C000121,S010,2025-12-22 13:38:18,PLACED
O0000266,C000136,S003,2025-12-27 10:04:18,DELIVERED
O0000267,C000533,S005,2025-12-27 03:20:18,DELIVERED
O0000268,C000313,S005,2025-12-28 02:56:18,PLACED
O0000269,C000048,S009,2025-12-27 09:54:18,SHIPPED
O0000270,C000656,S001,2025-12-22 15:06:18,PLACED
O0000271,C000049,S004,2025-12-22 02:09:18,PLACED
O0000272,C000581,S002,2025-12-27 14:42:18,SHIPPED
O0000273,C000090,S004,2025-12-27 22:01:18,PLACED
O0000274,C000288,S010,2025-12-23 15:15:18,DELIVERED
O0000275,C000361,S010,2025-12-22 09:42:18,PLACED
O0000276,C000019,S003,2025-12-24 01:52:18,DELIVERED
O0000277,C000272,S002,2025-12-24 06:49:18,PLACED
O0000278,C000532,S009,2025-12-24 11:45:18,DELIVERED
O0000279,C000625,S005,2025-12-25 05:07:18,CANCELLED
O0000280,C000305,S005,2025-12-23 05:23:18,DELIVERED
O0000281,C000087,S003,2025-12-26 13:21:18,PLACED
O0000282,C000117,S004,2025-12-28 04:25:18,PLACED
O0000283,C000438,S003,2025-12-26 12:20:18,DELIVERED
O0000284,C000356,S004,2025-12-23 18:59:18,DELIVERED
O0000285,C000146,S007,2025-12-27 19:05:18,SHIPPED
O0000286,C000594,S008,2025-12-22 19:39:18,SHIPPED
O0000287,C000689,S004,2025-12-27 16:40:18,SHIPPED
O0000288,C000486,S006,2025-12-22 12:33:18,DELIVERED
O0000289,C000532,S005,2025-12-25 01:39:18,SHIPPED
O0000290,C000671,S002,2025-12-24 00:36:18,PLACED
O0000291,C000692,S004,2025-12-26 20:53:18,DELIVERED
O0000292,C000453,S010,2025-12-28 12:26:18,DELIVERED
O0000293,C000339,S006,2025-12-26 10:07:18,SHIPPED
O0000294,C000300,S003,2025-12-26 04:36:18,SHIPPED
O0000295,C000763,S007,2025-12-22 15:55:18,SHIPPED
O0000296,C000378,S002,2025-12-25 14:40:18,CANCELLED
O0000297,C000691,S007,2025-12-26 08:38:18,DELIVERED
O0000298,C000401,S010,2025-12-27 15:55:18,DELIVERED
O0000299,C000029,S008,2025-12-24 05:55:18,DELIVERED
O0000300,C000205,S005,2025-12-24 21:12:18,SHIPPED
O0000301,C000101,S004,2025-12-28 07:47:18,DELIVERED
O0000302,C000391,S004,2025-12-23 11:39:18,SHIPPED
O0000303,C000464,S002,2025-12-22 05:45:18,CANCELLED
O0000304,C000368,S003,2025-12-28 08:07:18,CANCELLED
O0000305,C000014,S010,2025-12-23 02:55:18,PLACED
O0000306,C000465,S001,2025-12-26 04:01:18,DELIVERED
O0000307,C000631,S006,2025-12-28 15:30:18,DELIVERED
O0000308,C000754,S003,2025-12-23 04:41:18,DELIVERED
O0000309,C000416,S009,2025-12-24 15:18:18,DELIVERED
O0000310,C000517,S005,2025-12-25 10:37:18,DELIVERED
O0000311,C000634,S007,2025-12-26 15:57:18,DELIVERED
O0000312,C000168,S005,2025-12-27 21:02:18,CANCELLED
O0000313,C000128,S001,2025-12-27 16:00:18,SHIPPED
O0000314,C000422,S006,2025-12-24 11:29:18,DELIVERED
O0000315,C000186,S010,2025-12-24 03:05:18,DELIVERED
O0000316,C000222,S006,2025-12-22 06:53:18,SHIPPED
O0000317,C000157,S006,2025-12-24 03:34:18,SHIPPED
O0000318,C000524,S002,2025-12-28 01:01:18,SHIPPED
O0000319,C000486,S006,2025-12-27 20:48:18,DELIVERED
O0000320,C000113,S005,2025-12-23 13:52:18,PLACED
O0000321,C000163,S001,2025-12-22 23:54:18,PLACED
O0000322,C000411,S006,2025-12-25 16:22:18,PLACED
O0000323,C000697,S010,2025-12-24 15:09:18,SHIPPED
O0000324,C000206,S002,2025-12-24 22:58:18,SHIPPED
O0000325,C000262,S003,2025-12-23 05:33:18,SHIPPED
O0000326,C000362,S001,2025-12-28 10:15:18,DELIVERED
O0000327,C000330,S002,2025-12-26 00:02:18,SHIPPED
O0000328,C000552,S002,2025-12-24 13:08:18,SHIPPED
O0000329,C000089,S010,2025-12-26 18:38:18,DELIVERED
O0000330,C000504,S009,2025-12-22 18:02:18,PLACED
O0000331,C000702,S002,2025-12-27 08:41:18,PLACED
O0000332,C000731,S002,2025-12-22 19:24:18,DELIVERED
O0000333,C000458,S002,2025-12-25 13:51:18,SHIPPED
O0000334,C000042,S004,2025-12-28 19:29:18,DELIVERED
O0000335,C000499,S001,2025-12-27 03:59:18,PLACED
O0000336,C000001,S009,2025-12-25 09:52:18,PLACED
O0000337,C000487,S006,2025-12-27 20:17:18,DELIVERED
O0000338,C000510,S010,2025-12-23 07:16:18,SHIPPED
O0000339,C000229,S009,2025-12-23 04:35:18,DELIVERED
O0000340,C000512,S002,2025-12-23 20:42:18,CANCELLED
O0000341,C000336,S008,2025-12-27 01:34:18,DELIVERED
O0000342,C000279,S008,2025-12-28 03:35:18,SHIPPED
O0000343,C000194,S008,2025-12-22 04:10:18,DELIVERED
O0000344,C000685,S003,2025-12-22 17:11:18,DELIVERED
O0000345,C000722,S006,2025-12-27 02:11:18,DELIVERED
O0000346,C000457,S005,2025-12-22 06:41:18,DELIVERED
O0000347,C000516,S007,2025-12-22 17:38:18,PLACED
O0000348,C000272,S009,2025-12-23 14:57:18,SHIPPED
O0000349,C000419,S002,2025-12-27 03:25:18,PLACED
O0000350,C000685,S008,2025-12-28 19:08:18,PLACED
O0000351,C000016,S007,2025-12-26 04:51:18,SHIPPED
O0000352,C000234,S009,2025-12-24 11:36:18,PLACED
O0000353,C000700,S006,2025-12-22 19:22:18,SHIPPED
O0000354,C000189,S001,2025-12-26 12:28:18,PLACED
O0000355,C000362,S009,2025-12-26 11:25:18,PLACED
O0000356,C000438,S005,2025-12-22 02:29:18,PLACED
O0000357,C000751,S006,2025-12-28 04:11:18,DELIVERED
O0000358,C000635,S009,2025-12-23 13:54:18,DELIVERED
O0000359,C000331,S001,2025-12-26 18:54:18,DELIVERED
O0000360,C000525,S008,2025-12-27 10:08:18,SHIPPED
O0000361,C000760,S010,2025-12-26 12:10:18,SHIPPED
O0000362,C000775,S001,2025-12-21 23:42:18,DELIVERED
O0000363,C000256,S004,2025-12-26 02:35:18,DELIVERED
O0000364,C000517,S002,2025-12-24 03:37:18,DELIVERED
O0000365,C000190,S005,2025-12-26 08:00:18,DELIVERED
O0000366,C000140,S002,2025-12-24 20:01:18,DELIVERED
O0000367,C000061,S005,2025-12-26 20:19:18,SHIPPED
O0000368,C000293,S001,2025-12-22 21:51:18,SHIPPED
O0000369,C000227,S009,2025-12-23 14:22:18,DELIVERED
O0000370,C000465,S008,2025-12-22 02:03:18,SHIPPED
O0000371,C000152,S004,2025-12-23 21:19:18,DELIVERED
O0000372,C000662,S001,2025-12-23 20:18:18,DELIVERED
O0000373,C000617,S009,2025-12-22 03:17:18,PLACED
O0000374,C000199,S004,2025-12-26 16:51:18,DELIVERED
O0000375,C000240,S005,2025-12-27 11:09:18,SHIPPED
O0000376,C000066,S004,2025-12-22 08:49:18,PLACED
O0000377,C000271,S010,2025-12-27 20:24:18,PLACED
O0000378,C000669,S001,2025-12-28 03:55:18,DELIVERED
O0000379,C000488,S007,2025-12-23 13:29:18,DELIVERED
O0000380,C000391,S010,2025-12-23 15:08:18,SHIPPED
O0000381,C000583,S007,2025-12-23 00:15:18,DELIVERED
O0000382,C000135,S008,2025-12-23 08:45:18,SHIPPED
O0000383,C000363,S008,2025-12-23 14:44:18,DELIVERED
O0000384,C000546,S001,2025-12-26 12:17:18,DELIVERED
O0000385,C000486,S005,2025-12-27 20:12:18,CANCELLED
O0000386,C000092,S005,2025-12-25 00:50:18,SHIPPED
O0000387,C000508,S001,2025-12-25 13:21:18,DELIVERED
O0000388,C000625,S004,2025-12-22 17:06:18,DELIVERED
O0000389,C000412,S010,2025-12-26 22:47:18,DELIVERED
O0000390,C000425,S002,2025-12-28 08:06:18,DELIVERED
O0000391,C000318,S009,2025-12-28 04:11:18,DELIVERED
O0000392,C000204,S003,2025-12-28 11:23:18,PLACED
O0000393,C000366,S002,2025-12-22 03:02:18,PLACED
O0000394,C000515,S008,2025-12-27 10:24:18,PLACED
O0000395,C000201,S001,2025-12-22 09:45:18,DELIVERED
O0000396,C000475,S002,2025-12-22 22:58:18,PLACED
O0000397,C000022,S002,2025-12-25 11:17:18,SHIPPED
O0000398,C000025,S004,2025-12-22 10:51:18,DELIVERED
O0000399,C000687,S010,2025-12-23 08:23:18,DELIVERED
O0000400,C000150,S007,2025-12-26 06:18:18,SHIPPED
O0000401,C000550,S001,2025-12-24 08:17:18,DELIVERED
O0000402,C000143,S004,2025-12-22 14:09:18,PLACED
O0000403,C000787,S009,2025-12-23 21:18:18,PLACED
O0000404,C000093,S005,2025-12-26 23:02:18,CANCELLED
O0000405,C000006,S010,2025-12-26 03:08:18,PLACED
O0000406,C000080,S008,2025-12-25 20:40:18,DELIVERED
O0000407,C000536,S009,2025-12-25 22:27:18,SHIPPED
O0000408,C000240,S009,2025-12-27 14:14:18,PLACED
O0000409,C000620,S002,2025-12-26 01:32:18,DELIVERED
O0000410,C000727,S009,2025-12-24 19:37:18,SHIPPED
O0000411,C000542,S001,2025-12-27 02:09:18,DELIVERED
O0000412,C000476,S003,2025-12-28 12:53:18,DELIVERED
O0000413,C000388,S002,2025-12-22 10:57:18,SHIPPED
O0000414,C000516,S007,2025-12-26 13:18:18,PLACED
O0000415,C000418,S007,2025-12-25 14:17:18,DELIVERED
O0000416,C000600,S009,2025-12-27 11:48:18,SHIPPED
O0000417,C000778,S006,2025-12-27 22:05:18,DELIVERED
O0000418,C000019,S008,2025-12-27 02:10:18,DELIVERED
O0000419,C000333,S007,2025-12-23 09:43:18,DELIVERED
O0000420,C000087,S006,2025-12-26 15:58:18,DELIVERED
O0000421,C000312,S008,2025-12-24 22:07:18,DELIVERED
O0000422,C000130,S001,2025-12-22 20:28:18,PLACED
O0000423,C000102,S001,2025-12-26 08:14:18,PLACED
O0000424,C000092,S008,2025-12-27 09:59:18,PLACED
O0000425,C000498,S002,2025-12-23 13:44:18,DELIVERED
O0000426,C000787,S005,2025-12-22 21:27:18,SHIPPED
O0000427,C000501,S009,2025-12-24 07:49:18,DELIVERED
O0000428,C000609,S003,2025-12-23 06:05:18,PLACED
O0000429,C000373,S005,2025-12-24 11:33:18,PLACED
O0000430,C000751,S007,2025-12-24 19:43:18,DELIVERED
O0000431,C000445,S008,2025-12-22 01:32:18,CANCELLED
O0000432,C000613,S009,2025-12-25 07:55:18,DELIVERED
O0000433,C000193,S009,2025-12-28 00:37:18,PLACED
O0000434,C000719,S005,2025-12-21 22:20:18,DELIVERED
O0000435,C000757,S007,2025-12-24 04:56:18,DELIVERED
O0000436,C000667,S006,2025-12-22 08:18:18,PLACED
O0000437,C000493,S004,2025-12-25 11:08:18,CANCELLED
O0000438,C000348,S006,2025-12-23 15:27:18,PLACED
O0000439,C000475,S001,2025-12-26 00:53:18,DELIVERED
O0000440,C000427,S009,2025-12-24 03:04:18,SHIPPED
O0000441,C000510,S009,2025-12-26 08:34:18,DELIVERED
O0000442,C000622,S003,2025-12-22 06:49:18,DELIVERED
